СЛОВО           | ЧАСТОТА
в               | 69775
и               | 48834
на              | 32643
с               | 20004
что             | 19211
не              | 18869
по              | 14345
из              | 9386
для             | 9131
как             | 8655
а               | 8614
к               | 7993
за              | 7958
это             | 7539
о               | 6999
от              | 6381
но              | 6140
то              | 5689
у               | 5026
он              | 4727
его             | 4477
все             | 4368
до              | 4284
россии          | 4195
года            | 3941
мы              | 3692
также           | 3672
так             | 3574
или             | 3536
при             | 3528
будет           | 3438
если            | 3373
этом            | 3343
уже             | 3282
я               | 3113
их              | 3093
сша             | 2998
чтобы           | 2982
время           | 2971
которые         | 2917
они             | 2909
же              | 2904
только          | 2838
более           | 2754
было            | 2627
после           | 2618
может           | 2552
есть            | 2551
еще             | 2529
коронавируса    | 2486
во              | 2464
том             | 2450
того            | 2443
апреля          | 2355
когда           | 2298
был             | 2278
году            | 2200
можно           | 2143
об              | 2077
сейчас          | 2060
который         | 1963
были            | 1917
она             | 1857
чем             | 1852
бы              | 1848
ее              | 1831
даже            | 1800
со              | 1790
под             | 1763
фото            | 1703
этого           | 1683
очень           | 1657
тем             | 1612
однако          | 1609
будут           | 1588
всего           | 1562
мире            | 1508
человек         | 1498
могут           | 1461
быть            | 1459
где             | 1444
больше          | 1438
была            | 1405
нет             | 1394
этот            | 1381
без             | 1366
кто             | 1364
них             | 1361
лет             | 1352
страны          | 1346
июля            | 1320
россия          | 1271
коронавирусом   | 1259
людей           | 1242
новости         | 1235
вы              | 1233
всех            | 1232
пока            | 1218
ли              | 1210
один            | 1195
через           | 1190
нас             | 1159
словам          | 1145
ранее           | 1141
компании        | 1140
рф              | 1125
марта           | 1119
этой            | 1118
эти             | 1109
два             | 1069
пандемии        | 1057
работы          | 1054
несколько       | 1053
ни              | 1052
между           | 1042
поэтому         | 1042
вот             | 1041
власти          | 1031
раз             | 1026
кроме           | 1020
которая         | 1018
материал        | 1018
именно          | 995
нужно           | 985
просто          | 981
коронавирус     | 977
там             | 962
других          | 961
ситуации        | 959
случае          | 955
заявил          | 951
себя            | 948
тысяч           | 945
люди            | 944
день            | 938
например        | 932
которых         | 931
теперь          | 930
происходит      | 917
перейти         | 915
источник        | 904
является        | 902
должны          | 887
тыс             | 876
над             | 874
м               | 874
около           | 864
им              | 857
связи           | 855
условиях        | 852
дома            | 837
канале          | 829
нашем           | 827
президент       | 825
нам             | 823
сегодня         | 809
меры            | 807
рублей          | 799
против          | 792
почти           | 788
лишь            | 780
потому          | 774
здесь           | 770
мою             | 769
млн             | 767
год             | 767
хотя            | 757
ленту           | 757
часть           | 752
мне             | 752
числе           | 748
жизни           | 746
стороны         | 745
свою            | 744
такой           | 740
стран           | 738
своих           | 737
многие          | 737
стране          | 732
надо            | 728
тогда           | 722
другие          | 720
три             | 714
риа             | 710
работу          | 708
данным          | 706
данный          | 704
области         | 701
сми             | 695
вопрос          | 690
своей           | 690
свои            | 679
тех             | 679
глава           | 679
стали           | 678
которой         | 675
тоже            | 668
таких           | 664
граждан         | 662
системы         | 661
него            | 659
решение         | 657
времени         | 655
меня            | 653
ситуация        | 651
ему             | 649
менее           | 648
одной           | 644
этих            | 644
много           | 639
объясняем       | 638
подпишись       | 638
права           | 630
безопасности    | 628
двух            | 626
момент          | 626
возможность     | 625
стало           | 623
сказал          | 623
либо            | 621
такие           | 619
последние       | 618
количество      | 612
помощи          | 609
среди           | 608
новых           | 605
стоит           | 603
правительство   | 603
пресс           | 601
первый          | 600
образом         | 597
президента      | 597
число           | 593
ещё             | 591
сообщает        | 590
человека        | 590
млрд            | 589
перед           | 586
себе            | 583
долларов        | 580
вместе          | 575
тот             | 574
новый           | 573
всем            | 571
данные          | 570
сделать         | 570
да              | 568
должен          | 566
эта             | 562
компания        | 561
которого        | 559
поскольку       | 559
почему          | 559
сообщил         | 558
москве          | 556
российской      | 553
самоизоляции    | 552
дело            | 551
конечно         | 551
таким           | 549
путин           | 549
период          | 543
автор           | 542
новые           | 541
проекта         | 539
отметил         | 539
эпидемии        | 537
нового          | 536
организации     | 534
дней            | 533
всегда          | 533
некоторые       | 529
стал            | 528
те              | 527
изображения     | 525
