СЛОВО           | ЧАСТОТА
в               | 60458
и               | 46739
на              | 30481
с               | 18737
не              | 18177
что             | 17842
по              | 11451
В               | 9317
из              | 8889
для             | 8267
за              | 7411
к               | 7164
как             | 6689
о               | 6604
а               | 6568
от              | 6243
это             | 5598
то              | 5327
России          | 4194
у               | 4190
его             | 4127
до              | 4059
года            | 3937
но              | 3813
все             | 3741
он              | 3534
будет           | 3408
или             | 3398
этом            | 3343
уже             | 3123
также           | 3065
США             | 2998
время           | 2930
которые         | 2914
же              | 2904
их              | 2889
По              | 2720
чтобы           | 2714
только          | 2694
так             | 2641
мы              | 2620
было            | 2570
более           | 2534
коронавируса    | 2484
может           | 2454
того            | 2440
том             | 2434
Но              | 2326
они             | 2318
есть            | 2304
при             | 2261
был             | 2250
году            | 2200
еще             | 2176
На              | 2160
И               | 2095
А               | 2046
после           | 2041
если            | 2021
апреля          | 2016
во              | 1988
можно           | 1986
я               | 1966
Как             | 1964
который         | 1959
Это             | 1936
были            | 1862
бы              | 1848
когда           | 1825
чем             | 1750
ее              | 1728
со              | 1721
этого           | 1656
под             | 1655
даже            | 1585
будут           | 1572
очень           | 1552
мире            | 1507
сейчас          | 1504
Фото            | 1471
человек         | 1462
могут           | 1455
она             | 1451
быть            | 1450
была            | 1375
где             | 1374
Что             | 1365
них             | 1361
всего           | 1358
Если            | 1352
лет             | 1351
страны          | 1336
июля            | 1320
больше          | 1291
без             | 1288
нет             | 1282
Россия          | 1270
С               | 1267
При             | 1267
коронавирусом   | 1255
тем             | 1234
людей           | 1232
об              | 1230
всех            | 1217
кто             | 1205
Он              | 1193
ли              | 1180
Я               | 1147
словам          | 1144
этот            | 1142
нас             | 1133
марта           | 1115
компании        | 1112
этой            | 1108
через           | 1077
Мы              | 1072
РФ              | 1057
пандемии        | 1056
работы          | 1030
Однако          | 1026
вы              | 1024
один            | 1017
раз             | 1015
которая         | 1014
два             | 997
несколько       | 990
пока            | 989
ни              | 983
ситуации        | 959
случае          | 955
других          | 954
заявил          | 951
себя            | 948
тысяч           | 945
которых         | 931
Так             | 930
власти          | 926
происходит      | 914
является        | 893
эти             | 887
между           | 884
день            | 883
просто          | 883
нужно           | 881
должны          | 880
тыс             | 876
Новости         | 870
Для             | 864
связи           | 855
над             | 853
условиях        | 852
Перейти         | 848
Об              | 846
